Business_ID,Business_Age_Years,Industry,Region,Annual_Revenue_AUD,Annual_Profit_AUD,Total_Assets_AUD,Total_Liabilities_AUD,Owner_Credit_Score,Loan_Amount_AUD,Loan_Term_Months,Previous_Loans,Previous_Defaults,Industry_Growth_Rate,Debt_to_Asset_Ratio,Profit_Margin,Loan_to_Revenue_Ratio,Net_Worth,Revenue_per_Year_in_Business,Interest_Coverage_Ratio,Risk_Score,Defaulted,Business_Age_Category,Credit_Score_Category,Loan_Size_Category,Leverage_Category
BIZ1027,5,Education,NT,30000,4439,22592,9431,410,9578,36,1,0,0.98,0.417,0.148,0.319,13161,5000.0,5.786,0.413,0,Established,Poor,Small,Low
BIZ1028,6,Manufacturing,WA,53013,8175,107560,71708,566,30850,12,1,1,6.84,0.667,0.154,0.582,35852,7573.29,3.311,0.421,0,Established,Fair,Small,Medium
BIZ1029,1,IT,NSW,79632,7185,33065,17494,422,45587,36,1,0,4.04,0.529,0.09,0.572,15571,39816.0,1.97,0.405,1,Startup,Poor,Small,Medium
BIZ1030,6,Professional Services,ACT,286352,62667,167126,36010,344,169265,36,2,1,5.03,0.215,0.219,0.591,131116,40907.43,4.628,0.49,1,Established,Poor,Medium,Low
BIZ1031,2,Transport,NT,70006,2160,45893,30581,757,36861,36,0,0,-2.92,0.666,0.031,0.527,15312,23335.33,0.732,0.243,0,Startup,Excellent,Small,Medium
BIZ1032,1,Professional Services,NT,141258,3894,105539,45410,672,77727,36,1,0,2.6,0.43,0.028,0.55,60129,70629.0,0.626,0.227,0,Startup,Good,Medium,Low
BIZ1033,18,Hospitality,NT,87744,3639,58371,50795,446,14872,24,1,1,1.35,0.87,0.041,0.169,7576,4618.11,3.056,0.824,1,Mature,Poor,Small,Medium
BIZ1034,21,Transport,NSW,232927,43191,156760,20832,789,118106,60,3,0,3.98,0.133,0.185,0.507,135928,10587.59,4.571,0.103,0,Mature,Excellent,Medium,Low
BIZ1035,10,Manufacturing,NSW,221896,14445,147875,118764,803,97605,24,1,0,9.72,0.803,0.065,0.44,29111,20172.36,1.85,0.166,0,Mature,Excellent,Medium,Medium
BIZ1036,3,Professional Services,VIC,224880,27339,53136,37838,812,130325,36,1,0,-4.67,0.712,0.122,0.58,15298,56220.0,2.622,0.197,0,Established,Excellent,Medium,Medium
BIZ1037,1,Agriculture,ACT,30000,3340,44576,110159,842,10925,60,3,0,3.7,2.471,0.111,0.364,-65583,15000.0,3.817,0.396,1,Startup,Excellent,Small,High
BIZ1038,7,Transport,VIC,114085,3481,519894,314040,582,11048,36,3,0,9.11,0.604,0.031,0.097,205854,14260.62,3.934,0.423,0,Established,Fair,Small,Medium
BIZ1039,4,Healthcare,QLD,167922,25021,164426,144162,779,63570,48,1,0,0.97,0.877,0.149,0.379,20264,33584.4,4.919,0.125,0,Established,Excellent,Medium,Medium
BIZ1040,1,IT,NSW,128936,6605,53402,38024,712,55135,24,0,0,2.95,0.712,0.051,0.428,15378,64468.0,1.497,0.28,0,Startup,Good,Medium,Medium
BIZ1041,5,Manufacturing,WA,154140,26981,67839,141291,787,26385,36,4,0,4.53,2.083,0.175,0.171,-73452,25690.0,12.776,0.363,0,Established,Excellent,Small,High
BIZ1042,1,Professional Services,TAS,102831,1216,121630,78575,752,27431,36,2,0,-3.97,0.646,0.012,0.267,43055,51415.5,0.554,0.234,0,Startup,Excellent,Small,Medium
BIZ1043,15,Manufacturing,WA,58609,1341,60471,13874,573,22223,12,1,1,3.3,0.229,0.023,0.379,46597,3663.06,0.754,0.411,0,Mature,Fair,Small,Low
BIZ1044,2,Construction,TAS,30092,3193,20773,40957,752,7696,36,2,0,0.12,1.972,0.106,0.256,-20184,10030.67,5.178,0.48,1,Startup,Excellent,Small,High
BIZ1045,7,IT,NSW,62824,7838,80832,40666,603,16096,36,1,0,8.64,0.503,0.125,0.256,40166,7853.0,6.082,0.304,0,Established,Fair,Small,Medium
BIZ1046,3,Agriculture,NSW,643499,108297,152717,311495,534,79277,36,1,1,1.88,2.04,0.168,0.123,-158778,160874.75,17.073,0.853,1,Established,Fair,Medium,High
BIZ1047,5,Transport,NSW,70266,5274,90443,224458,499,39869,60,1,0,0.37,2.482,0.075,0.567,-134015,11711.0,1.653,0.747,1,Established,Poor,Small,High
BIZ1048,5,Transport,VIC,30000,1181,28328,3772,849,13883,12,3,0,5.04,0.133,0.039,0.463,24556,5000.0,1.062,0.155,0,Established,Excellent,Small,Low
BIZ1049,2,Transport,ACT,164860,55943,74256,66219,571,8355,36,3,1,3.96,0.892,0.339,0.051,8037,54953.33,83.572,0.522,0,Startup,Fair,Small,Medium
BIZ1050,21,IT,TAS,179660,23167,62244,17974,653,84635,36,2,0,5.19,0.289,0.129,0.471,44270,8166.36,3.421,0.119,0,Mature,Good,Medium,Low
BIZ1051,9,Healthcare,ACT,243075,27198,214040,99133,553,111057,36,2,1,8.23,0.463,0.112,0.457,114907,24307.5,3.061,0.346,0,Mature,Fair,Medium,Low
BIZ1052,17,Hospitality,VIC,137267,15760,261457,64129,798,7598,48,4,0,0.74,0.245,0.115,0.055,197328,7625.94,25.885,0.077,0,Mature,Excellent,Small,Low
BIZ1053,14,Retail,VIC,178424,20574,127396,88965,595,45191,36,2,0,7.66,0.698,0.115,0.253,38431,11894.93,5.689,0.448,0,Mature,Fair,Small,Medium
BIZ1054,6,Education,SA,357951,28760,175701,52761,810,137349,12,2,0,8.13,0.3,0.08,0.384,122940,51135.86,2.617,0.064,0,Established,Excellent,Medium,Low
BIZ1055,16,Professional Services,WA,58581,3267,53795,15190,793,17516,48,1,0,0.19,0.282,0.056,0.299,38605,3445.94,2.33,0.146,0,Mature,Excellent,Small,Low
BIZ1056,1,Healthcare,WA,50985,2426,124468,101356,671,24365,48,2,0,0.49,0.814,0.048,0.478,23112,25492.5,1.244,0.255,0,Startup,Good,Small,Medium
BIZ1057,2,Agriculture,QLD,45880,1354,48657,18367,603,13030,36,1,0,2.64,0.377,0.03,0.284,30290,15293.33,1.298,0.367,0,Startup,Fair,Small,Low
BIZ1058,1,Professional Services,NT,81957,4837,92743,37451,653,11033,36,3,0,1.9,0.404,0.059,0.135,55292,40978.5,5.474,0.208,0,Startup,Good,Small,Low
BIZ1059,3,Transport,VIC,269250,8032,459123,202562,839,158057,24,4,0,7.63,0.441,0.03,0.587,256561,67312.5,0.635,0.174,0,Established,Excellent,Medium,Low
BIZ1060,3,Manufacturing,TAS,142863,26907,155309,75968,764,26161,24,3,0,-0.09,0.489,0.188,0.183,79341,35715.75,12.85,0.106,0,Established,Excellent,Small,Low
BIZ1061,2,Agriculture,SA,138979,19579,71217,49402,554,61808,24,1,0,3.23,0.694,0.141,0.445,21815,46326.33,3.959,0.403,0,Startup,Fair,Medium,Medium
BIZ1062,11,Professional Services,SA,30000,2712,15000,5796,760,5000,36,0,0,0.2,0.386,0.09,0.167,9204,2500.0,6.763,0.05,0,Mature,Excellent,Small,Low
BIZ1063,3,Transport,NT,60764,5995,28617,53233,556,14033,60,0,0,2.83,1.86,0.099,0.231,-24616,15191.0,5.335,0.672,1,Established,Fair,Small,High
BIZ1064,2,Professional Services,ACT,30000,1915,15000,9987,731,8793,36,0,0,8.93,0.666,0.064,0.293,5013,10000.0,2.718,0.235,0,Startup,Good,Small,Medium
BIZ1065,5,Manufacturing,NT,224105,26718,272516,79136,782,34899,24,3,0,7.97,0.29,0.119,0.156,193380,37350.83,9.566,0.085,0,Established,Excellent,Small,Low
BIZ1066,1,Transport,NT,299524,21226,395916,196971,543,89101,24,2,1,3.64,0.498,0.071,0.297,198945,149762.0,2.977,0.603,1,Startup,Fair,Medium,Low
BIZ1067,10,Hospitality,NT,170364,4690,154977,88292,848,23244,36,2,0,4.39,0.57,0.028,0.136,66685,15487.64,2.521,0.195,0,Mature,Excellent,Small,Medium
BIZ1068,1,Healthcare,WA,49476,7568,18921,14167,640,17685,36,0,0,3.91,0.749,0.153,0.357,4754,24738.0,5.345,0.364,0,Startup,Good,Small,Medium
BIZ1069,25,Construction,VIC,278567,33234,666217,289130,804,115617,36,5,0,1.59,0.434,0.119,0.415,377087,10714.12,3.593,0.07,0,Mature,Excellent,Medium,Low
BIZ1070,9,Education,QLD,82679,10560,52732,24317,560,6973,36,2,1,8.25,0.461,0.128,0.084,28415,8267.9,18.896,0.39,0,Mature,Fair,Small,Low
BIZ1071,2,IT,VIC,42187,9038,49610,78913,629,22322,36,1,0,6.46,1.591,0.214,0.529,-29303,14062.33,5.058,0.516,1,Startup,Good,Small,High
BIZ1072,1,Education,ACT,50257,3039,42382,12022,802,7630,24,2,0,3.2,0.284,0.06,0.152,30360,25128.5,4.971,0.163,0,Startup,Excellent,Small,Low
BIZ1073,11,Agriculture,NSW,73049,3461,67784,13605,339,12706,12,3,1,1.85,0.201,0.047,0.174,54179,6087.42,3.402,0.597,1,Mature,Poor,Small,Low
BIZ1074,8,Education,NT,102201,15595,117666,212875,322,42284,12,3,1,2.04,1.809,0.153,0.414,-95209,11355.67,4.609,0.743,1,Established,Poor,Small,High
BIZ1075,8,Transport,VIC,88173,20251,47545,40985,756,27140,24,1,0,3.52,0.862,0.23,0.308,6560,9797.0,9.323,0.172,0,Established,Excellent,Small,Medium
BIZ1076,9,Hospitality,ACT,36722,8591,65799,20371,565,11922,12,4,1,2.39,0.31,0.234,0.325,45428,3672.2,8.998,0.527,1,Mature,Fair,Small,Low
BIZ1077,1,Construction,NSW,230803,48220,73248,43588,764,27808,36,4,0,5.92,0.595,0.209,0.12,29660,115401.5,21.666,0.145,0,Startup,Excellent,Small,Medium
BIZ1078,3,Healthcare,NSW,88838,9011,39004,12095,598,43810,48,0,0,3.94,0.31,0.101,0.493,26909,22209.5,2.57,0.27,0,Established,Fair,Small,Low
BIZ1079,1,Healthcare,NT,59896,10151,106491,79959,544,23322,48,3,2,-0.36,0.751,0.169,0.389,26532,29948.0,5.438,0.572,1,Startup,Fair,Small,Medium
BIZ1080,12,Manufacturing,QLD,214746,388,250499,158953,756,26727,36,3,0,-0.94,0.635,0.002,0.124,91546,16518.92,0.181,0.214,0,Mature,Excellent,Small,Medium
BIZ1081,6,IT,TAS,43114,9519,162078,256847,649,11024,48,2,0,5.47,1.585,0.221,0.256,-94769,6159.14,10.781,0.526,1,Established,Good,Small,High
BIZ1082,3,Professional Services,WA,31564,1330,26924,40877,628,15647,24,3,0,-0.97,1.518,0.042,0.496,-13953,7891.0,1.062,0.535,0,Established,Good,Small,High
BIZ1083,1,Hospitality,VIC,240563,5639,546338,810200,682,87227,48,2,0,1.45,1.483,0.023,0.363,-263862,120281.5,0.808,0.675,0,Startup,Good,Medium,High
BIZ1084,3,Professional Services,NSW,371005,28006,99656,137296,751,40720,36,8,0,1.18,1.378,0.075,0.11,-37640,92751.25,8.594,0.363,1,Established,Excellent,Small,High
BIZ1085,3,Construction,VIC,71434,3750,25044,14649,588,18217,36,2,0,-1.22,0.585,0.052,0.255,10395,17858.5,2.571,0.456,0,Established,Fair,Small,Medium
BIZ1086,8,Education,TAS,95589,6229,133937,41468,650,17538,36,1,0,3.43,0.31,0.065,0.183,92469,10621.0,4.436,0.121,0,Established,Good,Small,Low
BIZ1087,7,Healthcare,WA,44237,1421,15000,7851,506,14801,12,1,1,2.13,0.523,0.032,0.335,7149,5529.62,1.199,0.459,1,Established,Fair,Small,Medium
BIZ1088,14,Construction,TAS,99096,11068,72072,42248,693,50920,60,0,0,0.59,0.586,0.112,0.514,29824,6606.4,2.716,0.183,0,Mature,Good,Medium,Medium
BIZ1089,4,Education,WA,70756,1550,116694,184380,573,20515,24,0,0,8.76,1.58,0.022,0.29,-67686,14151.2,0.944,0.607,1,Established,Fair,Small,High
BIZ1090,1,Healthcare,SA,91904,4347,101641,15539,508,26499,36,1,0,-4.79,0.153,0.047,0.288,86102,45952.0,2.05,0.397,0,Startup,Fair,Small,Low
BIZ1091,8,Education,WA,131463,5233,108351,226016,726,72034,36,0,0,-0.09,2.086,0.04,0.548,-117665,14607.0,0.908,0.435,0,Established,Good,Medium,High
BIZ1092,9,IT,NT,45766,1771,28619,47343,404,16791,12,1,1,0.77,1.654,0.039,0.367,-18724,4576.6,1.317,0.796,1,Mature,Poor,Small,High
BIZ1093,5,Hospitality,QLD,76629,7255,70832,104577,482,27694,24,3,0,-1.58,1.476,0.095,0.361,-33745,12771.5,3.273,0.845,1,Established,Poor,Small,High
BIZ1094,9,Agriculture,TAS,30000,1263,34728,58573,662,5821,12,1,0,9.27,1.687,0.042,0.194,-23845,3000.0,2.706,0.486,0,Mature,Good,Small,High
BIZ1095,5,Construction,NSW,76996,2056,42402,12504,675,29585,24,1,0,9.24,0.295,0.027,0.384,29898,12832.67,0.868,0.278,0,Established,Good,Small,Low
BIZ1096,5,Construction,NT,92465,3910,94620,22914,764,33911,48,1,0,0.45,0.242,0.042,0.367,71706,15410.83,1.441,0.174,0,Established,Excellent,Small,Low
BIZ1097,4,Retail,SA,115877,2479,181197,36349,668,31086,36,1,0,6.31,0.201,0.021,0.268,144848,23175.4,0.996,0.317,0,Established,Good,Small,Low
BIZ1098,1,Transport,QLD,116739,3616,83634,31602,412,69445,24,1,0,4.29,0.378,0.031,0.595,52032,58369.5,0.651,0.525,0,Startup,Poor,Medium,Low
BIZ1099,1,IT,VIC,185859,14423,158517,114616,625,99442,36,4,0,7.47,0.723,0.078,0.535,43901,92929.5,1.813,0.398,1,Startup,Good,Medium,Medium
BIZ1100,1,IT,NT,33598,476,36771,47221,382,15531,60,2,1,2.18,1.284,0.014,0.462,-10450,16799.0,0.383,0.754,1,Startup,Poor,Small,High
BIZ1101,7,Professional Services,TAS,34877,4729,39750,85878,836,12051,24,2,0,3.79,2.16,0.136,0.346,-46128,4359.62,4.9,0.315,0,Established,Excellent,Small,High
BIZ1102,3,Education,ACT,142952,7503,198260,131068,780,43476,24,1,0,6.71,0.661,0.052,0.304,67192,35738.0,2.157,0.219,0,Established,Excellent,Small,Medium
BIZ1103,5,Transport,ACT,30000,1753,15000,1559,745,5000,60,1,0,6.25,0.104,0.058,0.167,13441,5000.0,4.372,0.187,0,Established,Good,Small,Low
BIZ1104,15,Hospitality,NSW,112230,20233,66899,31766,686,24483,24,1,0,2.95,0.475,0.18,0.218,35133,7014.38,10.325,0.187,0,Mature,Good,Small,Low
BIZ1105,2,Hospitality,WA,43208,865,26334,9244,541,20553,36,1,0,-0.33,0.351,0.02,0.476,17090,14402.67,0.526,0.632,1,Startup,Fair,Small,Low
BIZ1106,4,IT,NSW,296846,8681,141297,32320,659,88923,24,2,0,0.21,0.229,0.029,0.3,108977,59369.2,1.22,0.229,0,Established,Good,Medium,Low
BIZ1107,9,Hospitality,ACT,117632,11800,32737,28681,842,62962,60,2,1,-3.05,0.876,0.1,0.535,4056,11763.2,2.342,0.307,0,Mature,Excellent,Medium,Medium
BIZ1108,2,Retail,VIC,84676,4446,15000,1554,522,11122,60,2,1,4.86,0.104,0.053,0.131,13446,28225.33,4.991,0.685,1,Startup,Fair,Small,Low
BIZ1109,1,Construction,SA,233142,21908,391082,75943,566,76841,48,5,0,3.14,0.194,0.094,0.33,315139,116571.0,3.563,0.426,0,Startup,Fair,Medium,Low
BIZ1110,3,Manufacturing,SA,46892,5446,15112,2343,661,19030,36,4,0,3.37,0.155,0.116,0.406,12769,11723.0,3.575,0.128,0,Established,Good,Small,Low
BIZ1111,2,Agriculture,TAS,53562,1786,112251,80642,632,17903,36,5,1,2.42,0.718,0.033,0.334,31609,17854.0,1.246,0.592,1,Startup,Good,Small,Medium
BIZ1112,16,Professional Services,SA,40822,562,52084,37438,597,22006,24,3,1,-0.93,0.719,0.014,0.539,14646,2401.29,0.319,0.497,0,Mature,Fair,Small,Medium
BIZ1113,10,Education,TAS,53877,6377,34580,18027,797,32016,48,2,0,3.44,0.521,0.118,0.594,16553,4897.91,2.489,0.096,0,Mature,Excellent,Small,Medium
BIZ1114,7,Agriculture,NT,103030,504,122104,80520,389,11715,60,1,0,4.32,0.659,0.005,0.114,41584,12878.75,0.537,0.615,1,Established,Poor,Small,Medium
BIZ1115,13,Education,TAS,139492,11396,147390,323542,506,16944,36,2,0,-0.1,2.195,0.082,0.121,-176152,9963.71,8.401,0.604,1,Mature,Fair,Small,High
BIZ1116,10,Healthcare,NT,193492,16175,81791,9326,735,23543,36,3,0,2.41,0.114,0.084,0.122,72465,17590.18,8.583,0.158,0,Mature,Good,Small,Low
BIZ1117,2,Agriculture,TAS,30000,626,24342,15173,615,12739,24,0,0,0.55,0.623,0.021,0.425,9169,10000.0,0.614,0.477,1,Startup,Fair,Small,Medium
BIZ1118,14,Manufacturing,ACT,87526,19184,39806,33986,712,22316,36,2,0,1.85,0.854,0.219,0.255,5820,5835.07,10.74,0.188,0,Mature,Good,Small,Medium
BIZ1119,5,IT,ACT,45446,2848,55091,42447,543,20601,36,4,0,-0.91,0.77,0.063,0.453,12644,7574.33,1.727,0.474,1,Established,Fair,Small,Medium
BIZ1120,10,Retail,WA,85502,3069,45577,93495,404,23342,36,1,1,1.7,2.051,0.036,0.273,-47918,7772.91,1.643,1.0,1,Mature,Poor,Small,High
BIZ1121,14,Construction,NT,505809,35217,390794,163555,306,199887,36,2,0,7.38,0.419,0.07,0.395,227239,33720.6,2.202,0.606,1,Mature,Poor,Medium,Low
BIZ1122,3,Construction,QLD,121091,17199,91164,76232,818,57327,12,1,0,0.99,0.836,0.142,0.473,14932,30272.75,3.749,0.238,0,Established,Excellent,Medium,Medium
BIZ1123,1,Retail,NT,185280,3197,163173,45884,696,65129,48,6,0,0.46,0.281,0.017,0.352,117289,92640.0,0.613,0.308,0,Startup,Good,Medium,Low
BIZ1124,2,Transport,TAS,389447,12282,864594,487767,819,135031,48,1,0,0.65,0.564,0.032,0.347,376827,129815.67,1.137,0.164,0,Startup,Excellent,Medium,Medium
BIZ1125,4,Healthcare,TAS,217325,25879,153979,59314,557,21412,60,3,0,1.93,0.385,0.119,0.099,94665,43465.0,15.099,0.293,0,Established,Fair,Small,Low
BIZ1126,11,Education,QLD,72146,11706,122663,25685,635,19907,48,2,0,7.88,0.209,0.162,0.276,96978,6012.17,7.346,0.26,0,Mature,Good,Small,Low
BIZ1127,12,Manufacturing,NSW,40413,1364,44130,22807,734,14151,36,4,0,6.72,0.517,0.034,0.35,21323,3108.69,1.204,0.213,0,Mature,Good,Small,Medium
BIZ1128,1,Hospitality,TAS,96654,20891,185337,137018,790,29391,24,0,0,2.07,0.739,0.216,0.304,48319,48327.0,8.881,0.294,0,Startup,Excellent,Small,Medium
BIZ1129,5,Agriculture,WA,66343,990,44335,10232,701,36185,60,2,0,0.57,0.231,0.015,0.545,34103,11057.17,0.342,0.245,0,Established,Good,Small,Low
BIZ1130,4,Healthcare,SA,33956,1688,42213,27549,683,18627,36,3,0,-2.78,0.653,0.05,0.549,14664,6791.2,1.132,0.274,0,Established,Good,Small,Medium
BIZ1131,2,Agriculture,SA,116850,14696,92326,73492,378,58665,36,0,0,-0.23,0.796,0.126,0.502,18834,38950.0,3.131,0.581,1,Startup,Poor,Medium,Medium
BIZ1132,1,Manufacturing,VIC,118909,13433,16195,4820,691,30489,36,0,0,-3.42,0.298,0.113,0.256,11375,59454.5,5.505,0.15,0,Startup,Good,Small,Low
BIZ1133,3,Professional Services,VIC,340571,74027,144997,94285,682,151388,48,0,0,4.72,0.65,0.217,0.445,50712,85142.75,6.112,0.243,0,Established,Good,Medium,Medium
BIZ1134,18,Professional Services,SA,76631,5925,88981,49511,804,20491,12,1,0,6.51,0.556,0.077,0.267,39470,4033.21,3.612,0.084,0,Mature,Excellent,Small,Medium
BIZ1135,3,Healthcare,SA,120100,13883,134032,105044,555,21368,24,3,2,1.37,0.784,0.116,0.178,28988,30025.0,8.117,0.494,1,Established,Fair,Small,Medium
BIZ1136,5,IT,ACT,61954,13347,23322,8917,573,14782,36,3,2,3.65,0.382,0.215,0.239,14405,10325.67,11.277,0.422,0,Established,Fair,Small,Low
BIZ1137,8,Manufacturing,WA,181901,2070,169980,53318,643,16194,48,1,0,-0.77,0.314,0.011,0.089,116662,20211.22,1.597,0.324,0,Established,Good,Small,Low
BIZ1138,3,Manufacturing,QLD,90469,2772,100179,50805,618,21032,36,1,0,-3.32,0.507,0.031,0.232,49374,22617.25,1.647,0.283,0,Established,Fair,Small,Medium
BIZ1139,22,Retail,VIC,43442,1365,34835,71154,475,13180,36,2,0,2.67,2.043,0.031,0.303,-36319,1888.78,1.293,0.913,1,Mature,Poor,Small,High
BIZ1140,20,IT,ACT,97789,16070,123977,65434,833,56278,36,1,0,3.65,0.528,0.164,0.575,58543,4656.62,3.569,0.062,0,Mature,Excellent,Medium,Medium
BIZ1141,2,Education,ACT,129750,8217,151584,40185,692,28853,48,2,0,7.61,0.265,0.063,0.222,111399,43250.0,3.558,0.22,0,Startup,Good,Small,Low
BIZ1142,5,Education,QLD,118029,15759,94617,75938,805,64485,48,4,0,8.69,0.803,0.134,0.546,18679,19671.5,3.054,0.176,0,Established,Excellent,Medium,Medium
BIZ1143,3,Hospitality,ACT,205279,32558,123701,150476,822,36102,36,3,0,1.66,1.216,0.159,0.176,-26775,51319.75,11.269,0.343,0,Established,Excellent,Small,High
BIZ1144,3,Construction,NT,35823,1461,54823,7039,585,5553,24,1,0,5.24,0.128,0.041,0.155,47784,8955.75,3.281,0.467,0,Established,Fair,Small,Low
BIZ1145,1,Professional Services,WA,54725,2723,59158,118370,634,18357,60,1,0,3.45,2.001,0.05,0.335,-59212,27362.5,1.853,0.606,1,Startup,Good,Small,High
BIZ1146,6,Education,SA,154484,11030,55214,79824,390,64864,36,3,2,2.51,1.446,0.071,0.42,-24610,22069.14,2.125,0.808,1,Established,Poor,Medium,High
BIZ1147,5,IT,TAS,59415,1373,55538,22179,814,5000,48,1,0,2.39,0.399,0.023,0.084,33359,9902.5,3.424,0.127,0,Established,Excellent,Small,Low
BIZ1148,1,Manufacturing,QLD,116813,4105,47940,98241,702,20043,24,1,0,2.07,2.049,0.035,0.172,-50301,58406.5,2.559,0.45,0,Startup,Good,Small,High
BIZ1149,2,Education,SA,30000,3879,15000,7218,609,9018,36,2,0,2.19,0.481,0.129,0.301,7782,10000.0,5.369,0.261,0,Startup,Fair,Small,Low
BIZ1150,15,Manufacturing,SA,660770,32863,365863,588098,511,153333,48,1,0,7.47,1.607,0.05,0.232,-222235,41298.12,2.679,0.581,1,Mature,Fair,Medium,High
